,VenueId,DayOf,Start,End
155,4b4601adf964a520081426e3,True,1100,1800
156,4c83fe4851ada1cd48002b10,True,0000,+0000
157,4bc0cffc920eb7133c9f192c,True,0000,+0000
158,55637bd0498e52484d271cbc,True,1200,+0000
159,56357012498eae1202f31cf3,True,1200,+0000
160,51a0d57e498ea72544467f09,True,1200,+0000
161,580e4ca138fae4e1a94df114,True,1000,+0230
162,50c227aee4b0723643d02610,True,1000,+0230
163,5148ee61e4b0ff29e13e5408,True,1000,+0230
164,4b36ddf1f964a520923d25e3,True,1100,+0230
165,4ea0f27bb8f7e4911dff82f0,True,1100,+0230
166,4b744dfcf964a520e8d32de3,True,1100,+0100
167,4daafc0b8154abafc2b84756,True,1100,+0100
168,4ba6b66ff964a520d16a39e3,True,1100,+0100
169,4bee35132c082d7fe0363042,True,1100,+0100
170,5a76021fda70802ddac0a5b0,True,1100,+0100
171,534f32a311d253671ecb1c6f,True,1100,+0100
172,4be3ffb2d27a20a1ce6b935b,True,0000,+0000
173,4b8dcb4bf964a520070e33e3,True,0000,+0000
174,4bbc8f2d3de8c9b6fa149bad,True,0800,2100
175,4f7542ebe4b00446b3750d18,True,0900,+0200
176,4becbff9d5510f47aeffcc6c,True,0900,+0200
177,4f640e81e4b075c712d881f0,True,1400,+0230
178,4b58744df964a5208c5828e3,True,1700,2300
179,4c61ddd3ec94a5939e0228ca,True,0000,+0000
180,4c22aa8d11de20a1c04c85ce,True,1100,2300
181,4b676140f964a520654b2be3,True,0500,2100
182,4ba16b4df964a5205cb537e3,True,0500,2100
183,4ba05112f964a520056837e3,True,0500,2100
184,4b6d1381f964a520d2652ce3,True,0500,2100
185,54c2e770498e2e5544fa7fca,True,1600,+0200
186,4e869c299adfbdec9b09fd2b,True,1600,+0200
187,4c0c382c009a0f472b5cecbf,True,1600,+0200
188,51152771fe70d52f3b5df277,True,1700,2300
189,4b436000f964a5201adf25e3,True,1200,+0100
190,4b74d41df964a52043f42de3,False,,
191,4c8179cb74d7b60c654177d8,True,0800,2000
192,55d24d59498e3816103ce0fc,True,1200,2300
193,5389f7c2498e1b0d8c12f301,True,1200,2300
194,4b5b850af964a520450429e3,True,0630,2300
195,501bff08e4b050c6faa97048,True,1100,2300
196,4bc6acb6d35d9c747a22e33a,True,1100,+0230
197,4ce020e8825e721ee59d7445,True,1100,+0230
198,4d3a5c4c34ee3704f909779b,True,1100,+0230
199,58f01cdffe374020c816e397,True,1100,+0230
200,4b4cfa0ff964a52049c626e3,True,1000,1900
201,4bbe9776b083a5934656a2e9,True,1000,1900
